index,First Name,Last Name,Email Address,Prefix,College Name,Degree,Field of Study,Year of Graduation,Year of Entry,Employer Name,Job Domain,Job Title,Date of birth,Club1 ,CLub2,Club3,Club4,Reason
10,,Mcclain,raynor.kali@braun.net,Mrs,College of Business Administration,BBA,PRE BUSINESS,2003,1099,Acuity Imaging,Principal Software Engr.,Computers,9/3/1982,Men's Golf,,,,Cell(s) contains N/A value
11,Elliott,Lambert,damion.hand@kautzer.com,Captain,College of Business Administration,MBA,COMBINED MBA/MPA,1997,1993,Guardian Life Insurance Company,"Manager, National Sales Desk",,6/15/1982,,,,,Name of the Club is not listed in Sports Club sheet
11,Elliott,Lambert,damion.hand@kautzer.com,Captain,College of Business Administration,MBA,COMBINED MBA/MPA,1997,1993,Guardian Life Insurance Company,"Manager, National Sales Desk",,6/15/1982,,,,,Cell(s) contains N/A value
12,Larissa,Harrell,humberto.jacobson@gmail.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,1997,1993,Issacson & Raymond PA,Lawyer,Legal,8/19/1989,Women's Tennis,,,,Name of the Club is not listed in Sports Club sheet
12,Larissa,Harrell,humberto.jacobson@gmail.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,1997,1993,Issacson & Raymond PA,Lawyer,Legal,8/19/1989,Women's Tennis,,,,Cell(s) contains N/A value
13,Gauge,Oliver,prince.jakubowski@hotmail.com,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,Wells Fargo Advisors,Retired Sr. VP/Investment Ofcr.,Securities / Commodities,12/19/1988,,,,,Cell(s) contains N/A value
13,Gauge,Oliver,prince.jakubowski@hotmail.com,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,Wells Fargo Advisors,Retired Sr. VP/Investment Ofcr.,Securities / Commodities,12/19/1988,,,,,Name of the Club is not listed in Sports Club sheet
14,James,Santiago,awest@fay.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,1998,1094,State of Conneticut Department of Corrections,Retired Criminal Psychologist,Law Enforcement,3/28/1989,Women's Tennis,Women's Gymnastics,Cheerleader,,Name of the Club is not listed in Sports Club sheet
14,James,Santiago,awest@fay.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,1998,1094,State of Conneticut Department of Corrections,Retired Criminal Psychologist,Law Enforcement,3/28/1989,Women's Tennis,Women's Gymnastics,Cheerleader,,Cell(s) contains N/A value
15,Savannah,Collier,brown.krista@torp.com,Mrs,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1900,2006,"Hammond Residential Real Estate, LLC",Senior Sales Associate,Real Estate,1/17/1989,,,,,Name of the Club is not listed in Sports Club sheet
15,Savannah,Collier,brown.krista@torp.com,Mrs,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1900,2006,"Hammond Residential Real Estate, LLC",Senior Sales Associate,Real Estate,1/17/1989,,,,,Cell(s) contains N/A value
16,Braeden,Nichols,serenity27@yahoo.com,Ms,College of Business Administration,BBA,FINANCE,2003,1099,Maine College of Health Professions,President,Education / College,9/7/1975,Women's Riflery,,,,Name of the Club is not listed in Sports Club sheet
16,Braeden,Nichols,serenity27@yahoo.com,Ms,College of Business Administration,BBA,FINANCE,2003,1099,Maine College of Health Professions,President,Education / College,9/7/1975,Women's Riflery,,,,Cell(s) contains N/A value
17,Katrina,Blackwell,elyssa09@yahoo.com,Dr,College of Business Administration,BBA,FINANCE,2003,1099,Greater Lawrence Community Action,,Social Service Agencies,9/7/1976,Women's Soccer,,,,Name of the Club is not listed in Sports Club sheet
17,Katrina,Blackwell,elyssa09@yahoo.com,Dr,College of Business Administration,BBA,FINANCE,2003,1099,Greater Lawrence Community Action,,Social Service Agencies,9/7/1976,Women's Soccer,,,,Cell(s) contains N/A value
18,Natasha,Finley,lenore.boyer@hotmail.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1998,1094,St. Mary's Credit Union,Lending,Finance/Banking/Credit,9/7/1977,,,,,Cell(s) contains N/A value
18,Natasha,Finley,lenore.boyer@hotmail.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1998,1094,St. Mary's Credit Union,Lending,Finance/Banking/Credit,9/7/1977,,,,,Name of the Club is not listed in Sports Club sheet
19,Makena,Rogers,ghettinger@yahoo.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,,Vice President amd Project Manager,Investment/Securities,9/9/1983,Cheerleader,,,,Cell(s) contains N/A value
19,Makena,Rogers,ghettinger@yahoo.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,,Vice President amd Project Manager,Investment/Securities,9/9/1983,Cheerleader,,,,Name of the Club is not listed in Sports Club sheet
19,Makena,Rogers,ghettinger@yahoo.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,2003,1099,,Vice President amd Project Manager,Investment/Securities,9/9/1983,Cheerleader,,,,Employer Name is Empty even when Job Domain or Job Title is given
20,Lucas,Durham,okreiger@yahoo.com,Lt Col,College of Business Administration,BA,ECONOMICS,1900,2006,Air Canada,,Air Transportation,9/7/1983,Women's Swim Team,,,,Name of the Club is not listed in Sports Club sheet
20,Lucas,Durham,okreiger@yahoo.com,Lt Col,College of Business Administration,BA,ECONOMICS,1900,2006,Air Canada,,Air Transportation,9/7/1983,Women's Swim Team,,,,Cell(s) contains N/A value
21,Josephine,Downs,aritchie@yahoo.com,Dr,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2003,1099,Zymark Corp.,Motorola Codex,Corporate Business,9/7/1982,,,,,Name of the Club is not listed in Sports Club sheet
21,Josephine,Downs,aritchie@yahoo.com,Dr,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2003,1099,Zymark Corp.,Motorola Codex,Corporate Business,9/7/1982,,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
21,Josephine,Downs,aritchie@yahoo.com,Dr,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2003,1099,Zymark Corp.,Motorola Codex,Corporate Business,9/7/1982,,,,,Cell(s) contains N/A value
22,Leonidas,Sawyer,wehner.theresa@gmail.com,Ms,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Aetna Insurance,,,9/7/1983,Women's Gymnastics,,,,Name of the Club is not listed in Sports Club sheet
22,Leonidas,Sawyer,wehner.theresa@gmail.com,Ms,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2003,1099,Aetna Insurance,,,9/7/1983,Women's Gymnastics,,,,Cell(s) contains N/A value
23,Donna,Burch,gaylord.bettie@bernhard.com,Madam,College of Business Administration,BA,MARKETING,2001,1997,Keenan & Associates,Senior VP,,9/9/1983,,,,,Name of the Club is not listed in Sports Club sheet
23,Donna,Burch,gaylord.bettie@bernhard.com,Madam,College of Business Administration,BA,MARKETING,2001,1997,Keenan & Associates,Senior VP,,9/9/1983,,,,,Cell(s) contains N/A value
24,Danika,Kim,stuart.oberbrunner@gmail.com,Mrs,College of Business Administration,BA,ECONOMICS,2003,1099,Aetna Life & Casualty,"Retired, Case Manager",,9/5/1984,Women's Soccer,,,,Name of the Club is not listed in Sports Club sheet
24,Danika,Kim,stuart.oberbrunner@gmail.com,Mrs,College of Business Administration,BA,ECONOMICS,2003,1099,Aetna Life & Casualty,"Retired, Case Manager",,9/5/1984,Women's Soccer,,,,Cell(s) contains N/A value
25,Easton,Peters,ryan.clemens@walsh.com,Dr,College of Business Administration,BA,GENERAL BUSINESS,2007,2003,,Dir. of Info. Svcs. & Tech.,Communications,9/6/1984,,,,,Name of the Club is not listed in Sports Club sheet
25,Easton,Peters,ryan.clemens@walsh.com,Dr,College of Business Administration,BA,GENERAL BUSINESS,2007,2003,,Dir. of Info. Svcs. & Tech.,Communications,9/6/1984,,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
25,Easton,Peters,ryan.clemens@walsh.com,Dr,College of Business Administration,BA,GENERAL BUSINESS,2007,2003,,Dir. of Info. Svcs. & Tech.,Communications,9/6/1984,,,,,Employer Name is Empty even when Job Domain or Job Title is given
25,Easton,Peters,ryan.clemens@walsh.com,Dr,College of Business Administration,BA,GENERAL BUSINESS,2007,2003,,Dir. of Info. Svcs. & Tech.,Communications,9/6/1984,,,,,Cell(s) contains N/A value
26,Kelsey,Davis,onie41,Lt Col,College of Business Administration,BA,MARKETING,2000,1996,,Senior Vice President - Investments,Finance/Banking/Credit,9/5/1986,Men's Soccer,Centenary Gent Mascot,Men's Golf,,Cell(s) contains N/A value
26,Kelsey,Davis,onie41,Lt Col,College of Business Administration,BA,MARKETING,2000,1996,,Senior Vice President - Investments,Finance/Banking/Credit,9/5/1986,Men's Soccer,Centenary Gent Mascot,Men's Golf,,Employer Name is Empty even when Job Domain or Job Title is given
26,Kelsey,Davis,onie41,Lt Col,College of Business Administration,BA,MARKETING,2000,1996,,Senior Vice President - Investments,Finance/Banking/Credit,9/5/1986,Men's Soccer,Centenary Gent Mascot,Men's Golf,,Wrong Format of Email Address
26,Kelsey,Davis,onie41,Lt Col,College of Business Administration,BA,MARKETING,2000,1996,,Senior Vice President - Investments,Finance/Banking/Credit,9/5/1986,Men's Soccer,Centenary Gent Mascot,Men's Golf,,Name of the Club is not listed in Sports Club sheet
27,Rolando,Mccann,carlo.koch@brown.com,Ms,College of Business Administration,BBA,FINANCE,2001,1997,3M Healthcare,Wound Care Specialist Supervisor,Healthcare,09-09-2098,,,,,Cell(s) contains N/A value
27,Rolando,Mccann,carlo.koch@brown.com,Ms,College of Business Administration,BBA,FINANCE,2001,1997,3M Healthcare,Wound Care Specialist Supervisor,Healthcare,09-09-2098,,,,,Year of birth in Date of birth column has an unrealistic value
27,Rolando,Mccann,carlo.koch@brown.com,Ms,College of Business Administration,BBA,FINANCE,2001,1997,3M Healthcare,Wound Care Specialist Supervisor,Healthcare,09-09-2098,,,,,Name of the Club is not listed in Sports Club sheet
28,Ignacio,Stevens,tthiel@gmail.com,Ms,College of Business Administration,CER,ACCOUNTING,2007,2003,Addison Gilbert Hospital,,Healthcare,11/22/1985,Women's Tennis,,,,Name of the Club is not listed in Sports Club sheet
28,Ignacio,Stevens,tthiel@gmail.com,Ms,College of Business Administration,CER,ACCOUNTING,2007,2003,Addison Gilbert Hospital,,Healthcare,11/22/1985,Women's Tennis,,,,Cell(s) contains N/A value
29,Leilani,Foley,ashtyn.lowe@gmail.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,1900,2006,York Risk Services,Claims Adjustor,Insurance,11/22/1985,,,,,Name of the Club is not listed in Sports Club sheet
29,Leilani,Foley,ashtyn.lowe@gmail.com,Mrs,College of Business Administration,BBA,PRE BUSINESS,1900,2006,York Risk Services,Claims Adjustor,Insurance,11/22/1985,,,,,Cell(s) contains N/A value
30,Kayleigh,Norman,mratke@zboncak.com,Revd,College of Business Administration,BA,GENERAL BUSINESS,2007,2003,"TASC, Inc.",,Information Technology,9/7/1985,Men's Baseball,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
30,Kayleigh,Norman,mratke@zboncak.com,Revd,College of Business Administration,BA,GENERAL BUSINESS,2007,2003,"TASC, Inc.",,Information Technology,9/7/1985,Men's Baseball,,,,Cell(s) contains N/A value
30,Kayleigh,Norman,mratke@zboncak.com,Revd,College of Business Administration,BA,GENERAL BUSINESS,2007,2003,"TASC, Inc.",,Information Technology,9/7/1985,Men's Baseball,,,,Name of the Club is not listed in Sports Club sheet
31,Amy,Marquez,ines.blick@hotmail.com,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,1900,2006,,Director,,9/5/1985,Women's Swim Team,,,,Name of the Club is not listed in Sports Club sheet
31,Amy,Marquez,ines.blick@hotmail.com,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,1900,2006,,Director,,9/5/1985,Women's Swim Team,,,,Cell(s) contains N/A value
31,Amy,Marquez,ines.blick@hotmail.com,Dr,College of Business Administration,MBA,COMBINED MBA/MPA,1900,2006,,Director,,9/5/1985,Women's Swim Team,,,,Employer Name is Empty even when Job Domain or Job Title is given
32,Ellen,Hale,philip.powlowski@gmail.com,Mrs,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2001,1997,HealthSouth New England Rehabilitation Hospital,,Healthcare,9/5/1988,,,,,Name of the Club is not listed in Sports Club sheet
32,Ellen,Hale,philip.powlowski@gmail.com,Mrs,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2001,1997,HealthSouth New England Rehabilitation Hospital,,Healthcare,9/5/1988,,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
32,Ellen,Hale,philip.powlowski@gmail.com,Mrs,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2001,1997,HealthSouth New England Rehabilitation Hospital,,Healthcare,9/5/1988,,,,,Cell(s) contains N/A value
33,Dalton,Arias,bmedhurst@hotmail.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,Acorn Animal Hospital,,,6/27/1990,,,,,Name of the Club is not listed in Sports Club sheet
33,Dalton,Arias,bmedhurst@hotmail.com,Mr,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,Acorn Animal Hospital,,,6/27/1990,,,,,Cell(s) contains N/A value
34,Koen,Mullen,stokes.hillard@baumbach.com,Dr,College of Business Administration,BBA,PRE BUSINESS,2001,1997,St. Mary's Credit Union,Membership Ofcr./Retired Asst. Supt. of Schs.,Finance/Banking/Credit,10/8/1990,,,,,Name of the Club is not listed in Sports Club sheet
34,Koen,Mullen,stokes.hillard@baumbach.com,Dr,College of Business Administration,BBA,PRE BUSINESS,2001,1997,St. Mary's Credit Union,Membership Ofcr./Retired Asst. Supt. of Schs.,Finance/Banking/Credit,10/8/1990,,,,,Cell(s) contains N/A value
35,Casey,Perez,upagac@sporer.info,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,NCR Corp.,IRA Coord./Analyst,Computers,6/27/1990,,,,,Name of the Club is not listed in Sports Club sheet
35,Casey,Perez,upagac@sporer.info,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,2007,2003,NCR Corp.,IRA Coord./Analyst,Computers,6/27/1990,,,,,Cell(s) contains N/A value
36,,Williams,afisher@haag.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2001,1997,,System Administrator,Computers,1990-09-01 00:00:00,,,,,Cell(s) contains N/A value
36,,Williams,afisher@haag.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2001,1997,,System Administrator,Computers,1990-09-01 00:00:00,,,,,Employer Name is Empty even when Job Domain or Job Title is given
36,,Williams,afisher@haag.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2001,1997,,System Administrator,Computers,1990-09-01 00:00:00,,,,,Either First Name or Last Name is Blank
36,,Williams,afisher@haag.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2001,1997,,System Administrator,Computers,1990-09-01 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
36,,Williams,afisher@haag.com,Dr,College of Business Administration,BA,BUSINESS ADMINISTRATION,2001,1997,,System Administrator,Computers,1990-09-01 00:00:00,,,,,Wrong Format of Date of Birth
37,Lexi,Mckay,parker.howell@jast.info,Dr,College of Business Administration,BBA,PRE BUSINESS,1900,2006,Stoughton Steel,Plant Mgr.,Manufacturing / Misc,9/7/1987,,,,,Cell(s) contains N/A value
37,Lexi,Mckay,parker.howell@jast.info,Dr,College of Business Administration,BBA,PRE BUSINESS,1900,2006,Stoughton Steel,Plant Mgr.,Manufacturing / Misc,9/7/1987,,,,,Name of the Club is not listed in Sports Club sheet
38,Desmond,Roberts,mhackett@yahoo.com,Mr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2001,1997,"John J. Woodcock, III",,,9/5/1987,,,,,Name of the Club is not listed in Sports Club sheet
38,Desmond,Roberts,mhackett@yahoo.com,Mr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2001,1997,"John J. Woodcock, III",,,9/5/1987,,,,,Cell(s) contains N/A value
39,Mackenzie,Whitehead,vbrekke@goyette.com,Lt Col,College of Engineering,PHD,Environmental Science & Engineering,1900,2006,Syracuse Rsch. Corp.,Software Developer,Computers,9/7/1985,,,,,Name of the Club is not listed in Sports Club sheet
39,Mackenzie,Whitehead,vbrekke@goyette.com,Lt Col,College of Engineering,PHD,Environmental Science & Engineering,1900,2006,Syracuse Rsch. Corp.,Software Developer,Computers,9/7/1985,,,,,Cell(s) contains N/A value
40,Kael,Levy,rkovacek@gmail.com,Lt Col,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2007,2003,Aetna Insurance,Clinical Nurse Case Manager,,9/6/1987,Women's Soccer,,,,Name of the Club is not listed in Sports Club sheet
40,Kael,Levy,rkovacek@gmail.com,Lt Col,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2007,2003,Aetna Insurance,Clinical Nurse Case Manager,,9/6/1987,Women's Soccer,,,,Cell(s) contains N/A value
40,Kael,Levy,rkovacek@gmail.com,Lt Col,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,2007,2003,Aetna Insurance,Clinical Nurse Case Manager,,9/6/1987,Women's Soccer,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
41,Christine,Fernandez,verna13@yahoo.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1900,2006,"ACE Insurance Company, Ltd.",Country President & General Director,Insurance,9/6/1987,,,,,Name of the Club is not listed in Sports Club sheet
41,Christine,Fernandez,verna13@yahoo.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,1900,2006,"ACE Insurance Company, Ltd.",Country President & General Director,Insurance,9/6/1987,,,,,Cell(s) contains N/A value
42,Jayden,Tran,semmerich@wuckert.info,Captain,College of Business Administration,BBA,Information systems,1900,2006,Aegis Group at Morgan Stanley,,,9/6/1988,,,,,Name of the Club is not listed in Sports Club sheet
42,Jayden,Tran,semmerich@wuckert.info,Captain,College of Business Administration,BBA,Information systems,1900,2006,Aegis Group at Morgan Stanley,,,9/6/1988,,,,,Cell(s) contains N/A value
43,Olive,Mccarty,elwyn.johnson@quigley.com,Mrs,College of Business Administration,MBA,COMBINED MBA/MPA,1900,2006,Vernon Police Dept.,Police Ofcr.,Government/Local,10/8/1990,,,,,Name of the Club is not listed in Sports Club sheet
43,Olive,Mccarty,elwyn.johnson@quigley.com,Mrs,College of Business Administration,MBA,COMBINED MBA/MPA,1900,2006,Vernon Police Dept.,Police Ofcr.,Government/Local,10/8/1990,,,,,Cell(s) contains N/A value
44,Efrain,Bowen,shaina.boehm@muller.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2001,1997,Grainger Industrial Supply,Branch Manager,Manufacturing / Misc,9/9/1992,Men's Baseball,,,,Cell(s) contains N/A value
44,Efrain,Bowen,shaina.boehm@muller.com,Dr,College of Business Administration,PHD,BUSINESS ADMINISTRATION,2001,1997,Grainger Industrial Supply,Branch Manager,Manufacturing / Misc,9/9/1992,Men's Baseball,,,,Name of the Club is not listed in Sports Club sheet
45,Kristen,Adkins,xconnelly@gmail.com,Ms,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,1996,1992,na,Attorney,Legal,9/7/1992,,,,,Cell(s) contains N/A value
45,Kristen,Adkins,xconnelly@gmail.com,Ms,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,1996,1992,na,Attorney,Legal,9/7/1992,,,,,"College Name, Degree & Field of Study together does not match with the Course Structure sheet"
45,Kristen,Adkins,xconnelly@gmail.com,Ms,College of Business Administration,BBA,OPERATIONS & SUPPLY CHAIN MANAGEMENT,1996,1992,na,Attorney,Legal,9/7/1992,,,,,Name of the Club is not listed in Sports Club sheet
46,Antony,Riggs,jacobs.jamil@yahoo.com,Mr,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2007,2003,ABC Inc.,Account Executive,,6/22/1993,,,,,Cell(s) contains N/A value
46,Antony,Riggs,jacobs.jamil@yahoo.com,Mr,College of Health Sciences,BS,SPCH/HEARING/LANG DI,2007,2003,ABC Inc.,Account Executive,,6/22/1993,,,,,Name of the Club is not listed in Sports Club sheet
47,Asa,Hartman,jimmie37@mueller.biz,Dr,College of Business Administration,CER,ACCOUNTING,1900,2006,King Kullen Grocery Co.,Mgmt.,Retail,6/27/1990,Women's Soccer,,,,Cell(s) contains N/A value
47,Asa,Hartman,jimmie37@mueller.biz,Dr,College of Business Administration,CER,ACCOUNTING,1900,2006,King Kullen Grocery Co.,Mgmt.,Retail,6/27/1990,Women's Soccer,,,,Name of the Club is not listed in Sports Club sheet
48,Alexia,Gomez,xrosenbaum@gmail.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1996,1992,"Ace Tool & Mfg. Company, Inc.",VP,Manufacturing / Misc,1998-07-05 00:00:00,,,,,Cell(s) contains N/A value
48,Alexia,Gomez,xrosenbaum@gmail.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1996,1992,"Ace Tool & Mfg. Company, Inc.",VP,Manufacturing / Misc,1998-07-05 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
48,Alexia,Gomez,xrosenbaum@gmail.com,Ms,College of Business Administration,MBA,COMBINED MBA/MPA,1996,1992,"Ace Tool & Mfg. Company, Inc.",VP,Manufacturing / Misc,1998-07-05 00:00:00,,,,,Wrong Format of Date of Birth
49,Aleah,Ruiz,lorenzo94@daugherty.com,Dr,College of Business Administration,BBA,Information systems,1996,1992,Air Force Institute of Pathology,,Healthcare,2001-05-09 00:00:00,,,,,Wrong Format of Date of Birth
49,Aleah,Ruiz,lorenzo94@daugherty.com,Dr,College of Business Administration,BBA,Information systems,1996,1992,Air Force Institute of Pathology,,Healthcare,2001-05-09 00:00:00,,,,,Name of the Club is not listed in Sports Club sheet
